Codigo_Pieza,Extension,Largo_CAD,Ancho_CAD,Espesor_Perfil_CAD,Material,Observaciones,Tiene_DXF,Largo_DXF,Ancho_DXF,Largo_DXF_Nuevo,Ancho_DXF_Nuevo,Ruta_Archivo
C53-BAS4-013,.sldprt,490.48,143.0,3.18,,OK (CAD y DXF coinciden),SI,490.48,143.00000000000003,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS4-013.SLDPRT
C53-BAS4-014,.sldprt,2362.0,50.8,4.76,,OK (CAD y DXF coinciden),SI,2362.0,50.8,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS4-014.SLDPRT
C53-BAS4-015,.sldprt,300.0,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS4-015.SLDPRT
C53-BAS4-016,.sldprt,161.0,76.2,3.18,,OK (CAD y DXF coinciden),SI,161.0,76.2,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS4-016.SLDPRT
C53-BR1-001,.sldprt,1580.0,114.3,88.9,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR1-001.SLDPRT
C53-BR1-002,.sldprt,1770.0,101.6,76.2,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR1-002.SLDPRT
C53-BR1-003,.sldprt,150.0,114.3,88.9,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR1-003.SLDPRT
C53-BR1-004,.sldprt,88.9,50.8,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR1-004.SLDPRT
C53-BR1-005,.sldprt,76.2,63.5,63.5,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR1-005.SLDPRT
C53-BR1-006,.sldprt,223.65,50.8,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR1-006.SLDPRT
